Price,Price
Ticker,SPY
Date,
2019-07-23,272.33380126953125
2019-07-24,273.6136474609375
2019-07-25,272.3065490722656
2019-07-26,274.1310729980469
2019-07-29,273.6317138671875
2019-07-30,272.9601135253906
2019-07-31,269.9737854003906
2019-08-01,267.6227722167969
2019-08-02,265.6077880859375
2019-08-05,257.62017822265625
2019-08-06,261.2327575683594
2019-08-07,261.3870849609375
2019-08-08,266.5154724121094
2019-08-09,264.7000732421875
2019-08-12,261.47784423828125
2019-08-13,265.5442810058594
2019-08-14,257.6927490234375
2019-08-15,258.3735046386719
2019-08-16,262.18585205078125
2019-08-19,265.344482421875
2019-08-20,263.3114013671875
2019-08-21,265.45361328125
2019-08-22,265.3717956542969
2019-08-23,258.5550842285156
2019-08-26,261.4142150878906
2019-08-27,260.3885803222656
2019-08-28,262.22210693359375
2019-08-29,265.5715026855469
2019-08-30,265.45361328125
2019-09-03,263.9012756347656
2019-09-04,266.89678955078125
2019-09-05,270.3277282714844
2019-09-06,270.5364990234375
2019-09-09,270.6727294921875
2019-09-10,270.60919189453125
2019-09-11,272.533447265625
2019-09-12,273.4775085449219
2019-09-13,273.2958679199219
2019-09-16,272.4517822265625
2019-09-17,273.1416015625
2019-09-18,273.3050231933594
2019-09-19,273.28680419921875
2019-09-20,271.9955749511719
2019-09-23,271.9317932128906
2019-09-24,269.7980041503906
2019-09-25,271.3936767578125
2019-09-26,270.828369140625
2019-09-27,269.369384765625
2019-09-30,270.61865234375
2019-10-01,267.3996887207031
2019-10-02,262.6761474609375
2019-10-03,264.8282470703125
2019-10-04,268.4119567871094
2019-10-07,267.25384521484375
2019-10-08,263.104736328125
2019-10-09,265.6032409667969
2019-10-10,267.3996887207031
2019-10-11,270.1717834472656
2019-10-14,269.8709411621094
2019-10-15,272.5427551269531
2019-10-16,272.1050720214844
2019-10-17,272.9074401855469
2019-10-18,271.7128601074219
2019-10-21,273.5549011230469
2019-10-22,272.6612854003906
2019-10-23,273.4545593261719
2019-10-24,273.90142822265625
2019-10-25,275.0231018066406
2019-10-28,276.57330322265625
2019-10-29,276.4911804199219
2019-10-30,277.3392333984375
2019-10-31,276.6005554199219
2019-11-01,279.1629333496094
2019-11-04,280.28460693359375
2019-11-05,279.9745788574219
2019-11-06,280.0384216308594
2019-11-07,281.02325439453125
2019-11-08,281.7162170410156
2019-11-11,281.17828369140625
2019-11-12,281.77099609375
2019-11-13,281.8621826171875
2019-11-14,282.2724609375
2019-11-15,284.3151550292969
2019-11-18,284.5246887207031
2019-11-19,284.4427490234375
2019-11-20,283.38494873046875
2019-11-21,282.9290466308594
2019-11-22,283.55828857421875
2019-11-25,285.755859375
2019-11-26,286.4033203125
2019-11-27,287.6799621582031
2019-11-29,286.6130676269531
2019-12-02,284.1783447265625
2019-12-03,282.2724609375
2019-12-04,284.0141906738281
2019-12-05,284.5246887207031
2019-12-06,287.1236877441406
2019-12-09,286.220947265625
2019-12-10,285.9017639160156
2019-12-11,286.71331787109375
2019-12-12,289.1845703125
2019-12-13,289.3578796386719
2019-12-16,291.345703125
2019-12-17,291.4095458984375
2019-12-18,291.4277648925781
2019-12-19,292.6222839355469
2019-12-20,293.9052734375
2019-12-23,294.3542785644531
2019-12-24,294.36346435546875
2019-12-26,295.930419921875
2019-12-27,295.8570861816406
2019-12-30,294.2259826660156
2019-12-31,294.94073486328125
2020-01-02,297.698974609375
2020-01-03,295.4447326660156
2020-01-06,296.5719299316406
2020-01-07,295.7379455566406
2020-01-08,297.3140869140625
2020-01-09,299.33013916015625
2020-01-10,298.46868896484375
2020-01-13,300.5213623046875
2020-01-14,300.06329345703125
2020-01-15,300.7413330078125
2020-01-16,303.24298095703125
2020-01-17,304.1868591308594
2020-01-21,303.5911865234375
2020-01-22,303.6278076171875
2020-01-23,303.9761047363281
2020-01-24,301.2727355957031
2020-01-27,296.4435729980469
2020-01-28,299.5500793457031
2020-01-29,299.3026428222656
2020-01-30,300.2740173339844
2020-01-31,294.8216247558594
2020-02-03,297.01171875
2020-02-04,301.5384826660156
2020-02-05,305.0207214355469
2020-02-06,306.0470886230469
2020-02-07,304.4159851074219
